applicant_id,applicant_name,ssn,email,street_address,zip,birth_date,region,annual_income,debt_to_income,credit_history_years,delinquencies_2y,employment_years,loan_amount,area_risk_score,collections_flag_post_decision,repaid
APP00011,Linh Moore,978-62-3803,linh.moore964@example.com,6462 Elm Dr,95973,1989-08-01,rural,74300.0,0.439,9.9,0,4.3,23000.0,73.8,1,0
APP00012,Aisha Smith,905-62-6932,aisha.smith384@example.com,3368 Lakeview Blvd,91355,1963-01-01,metro,87800.0,0.51,9.7,0,3.9,15300.0,23.8,1,0
APP00013,Mateo Martinez,958-78-4191,mateo.martinez415@example.com,8979 Cedar Ln,90576,1959-06-19,metro,33300.0,0.31,4.7,0,7.8,17500.0,29.0,1,0
APP00014,Noah Martinez,966-78-6958,noah.martinez92@example.com,5264 Oak St,95981,1988-10-15,rural,65400.0,0.232,14.7,0,8.2,31600.0,74.6,1,0
APP00015,Hiro Nguyen,983-16-7024,hiro.nguyen984@example.com,1057 Elm Dr,95926,2001-03-07,rural,,0.403,2.6,1,5.6,23500.0,68.8,1,0
APP00016,Linh Lopez,911-62-4392,linh.lopez417@example.com,2454 Maple Ave,90067,1951-11-16,metro,61000.0,0.395,16.2,0,5.1,16600.0,23.2,0,1
APP00017,Noah Brown,903-55-2416,noah.brown421@example.com,8939 Maple Ave,95927,1974-11-08,rural,40700.0,0.316,19.0,0,8.3,12400.0,65.9,0,0
APP00018,Priya Taylor,999-86-3282,priya.taylor566@example.com,5294 Maple Ave,95964,1958-09-03,rural,,0.569,10.4,0,3.0,26500.0,76.7,1,0
APP00019,Fatima Hernandez,949-28-6432,fatima.hernandez688@example.com,8754 Hillcrest Way,91760,1995-04-11,metro,100200.0,0.28,28.0,1,2.4,20300.0,37.9,0,1
APP00020,Fatima Garcia,986-63-7462,fatima.garcia891@example.com,8137 Lakeview Blvd,95946,1992-04-18,rural,41500.0,0.409,4.6,0,13.4,17000.0,71.4,1,0
APP00021,Ravi Nguyen,916-77-7634,ravi.nguyen853@example.com,1806 Elm Dr,91180,1998-12-23,metro,112900.0,0.291,11.8,0,,20500.0,41.3,0,1
APP00022,Emma Nguyen,900-10-9630,emma.nguyen93@example.com,281 Elm Dr,91391,1982-03-14,metro,67300.0,0.51,13.1,0,3.8,30000.0,51.5,1,0
APP00023,Sofia Martinez,978-15-9907,sofia.martinez895@example.com,9419 Elm Dr,90216,1991-07-26,metro,40700.0,0.285,7.9,0,,25700.0,39.5,0,1
APP00024,Aisha Smith,989-79-7241,aisha.smith482@example.com,4487 Cedar Ln,91209,1977-12-13,metro,66600.0,0.416,9.9,0,7.0,22100.0,39.2,0,0
APP00025,Hiro Nguyen,959-64-4457,hiro.nguyen512@example.com,7292 Elm Dr,90043,1962-08-26,metro,50600.0,0.437,6.7,0,13.0,23100.0,31.0,0,1
APP00026,Grace Ramirez,959-18-5004,grace.ramirez989@example.com,9518 Cedar Ln,90638,1993-08-10,metro,65300.0,0.485,2.0,0,7.8,2100.0,42.0,0,1
APP00027,Maria Lopez,969-44-9071,maria.lopez910@example.com,4751 Cedar Ln,90032,1956-03-25,metro,65800.0,0.303,7.1,0,4.8,16700.0,43.7,0,1
APP00028,Hiro Ali,942-62-4317,hiro.ali178@example.com,6421 Maple Ave,96156,1963-03-03,rural,74600.0,0.247,4.5,0,1.2,19700.0,66.5,1,0
APP00029,Ravi Lee,949-78-6379,ravi.lee901@example.com,8387 Cedar Ln,96108,1997-02-16,rural,46800.0,0.424,5.9,0,1.9,19000.0,63.4,1,0
APP00030,Priya Ali,936-43-3068,priya.ali331@example.com,6281 Lakeview Blvd,90431,1958-03-11,metro,26800.0,0.467,19.9,1,13.3,30100.0,34.6,1,0
APP00031,Grace Hernandez,981-63-7426,grace.hernandez347@example.com,8673 Cedar Ln,91865,1962-06-07,metro,,0.418,7.3,1,2.1,25100.0,45.3,1,0
APP00032,Grace Kim,908-70-5648,grace.kim216@example.com,92 Hillcrest Way,95994,1963-03-06,rural,52900.0,0.288,14.0,1,9.1,19400.0,64.2,1,0
APP00033,Kevin Wilson,961-49-3377,kevin.wilson189@example.com,8137 Maple Ave,90855,1960-11-21,metro,61200.0,0.282,16.0,1,4.8,3000.0,37.2,0,0
APP00034,Kevin Hernandez,960-48-1659,kevin.hernandez420@example.com,7672 Cedar Ln,91141,1957-07-03,metro,61700.0,0.49,13.5,1,7.4,26200.0,37.0,1,0
APP00035,Chloe Taylor,945-90-1763,chloe.taylor341@example.com,4267 Oak St,96157,1974-02-25,rural,42500.0,0.302,1.8,1,5.5,17000.0,78.9,1,0
APP00036,Hiro Singh,954-15-8887,hiro.singh703@example.com,3061 Elm Dr,96008,1986-07-10,rural,57900.0,0.235,22.2,0,4.6,22200.0,68.5,0,1
APP00037,Daniel Clark,990-93-1552,daniel.clark81@example.com,1204 Elm Dr,96181,1954-08-21,rural,71400.0,0.379,8.4,0,3.5,13100.0,64.9,1,0
APP00038,Mateo Johnson,957-34-9629,mateo.johnson443@example.com,9943 Lakeview Blvd,90035,1951-01-18,metro,54300.0,0.02,30.9,0,12.2,6500.0,27.9,0,1
APP00039,Priya Martinez,919-18-3288,priya.martinez585@example.com,9772 Pine Rd,91505,1961-04-25,metro,36100.0,0.291,2.2,0,3.3,36400.0,36.0,1,0
APP00040,Alex Smith,916-15-7262,alex.smith324@example.com,3747 Pine Rd,96190,1985-06-04,rural,50200.0,0.482,18.1,1,11.0,19300.0,77.8,1,0
APP00041,Olivia Kim,933-19-6495,olivia.kim992@example.com,8245 Hillcrest Way,90411,1997-06-29,metro,112500.0,0.392,9.1,2,4.5,5700.0,41.3,0,0
APP00042,Hiro Ali,940-12-7287,hiro.ali564@example.com,2354 Pine Rd,91938,1969-04-26,metro,57800.0,0.27,14.9,1,8.4,22300.0,48.5,0,1
APP00043,Ravi Kim,930-92-2198,ravi.kim187@example.com,6758 Elm Dr,96093,1987-05-06,rural,36100.0,0.315,7.0,0,2.8,24600.0,75.4,1,0
APP00044,Carlos Ali,964-66-3531,carlos.ali70@example.com,4580 Maple Ave,91235,1952-10-31,metro,65200.0,0.31,11.8,0,5.7,10500.0,45.0,0,1
APP00045,Hiro Davis,958-66-6183,hiro.davis779@example.com,6340 Elm Dr,90780,1968-07-14,metro,32900.0,0.369,2.1,1,15.9,15600.0,28.5,1,0
APP00046,Ravi Patel,966-14-7932,ravi.patel66@example.com,9289 Maple Ave,96097,1984-04-28,rural,90400.0,0.439,13.6,0,5.1,3100.0,66.4,0,1
APP00047,Priya Davis,906-54-7459,priya.davis27@example.com,9227 Maple Ave,91316,1996-03-01,metro,37700.0,0.194,10.1,0,13.7,6800.0,14.4,0,1
APP00048,Olivia Ali,986-43-5838,olivia.ali277@example.com,2794 Maple Ave,91552,1950-12-21,metro,45500.0,0.216,5.4,1,7.9,15000.0,25.1,1,0
APP00049,Maria Davis,990-90-2280,maria.davis588@example.com,5410 Elm Dr,96175,1950-03-25,rural,52700.0,0.529,6.0,1,2.7,10300.0,75.8,1,0
APP00050,James Lopez,979-69-9736,james.lopez407@example.com,5965 Lakeview Blvd,90334,1959-09-29,metro,22800.0,0.569,6.1,1,6.3,16700.0,23.0,1,0
APP00051,Priya Lee,903-86-4497,priya.lee196@example.com,6722 Elm Dr,90062,1958-11-13,metro,44700.0,0.334,13.6,0,18.7,14800.0,41.1,0,1
APP00052,Hiro Brown,950-53-9869,hiro.brown553@example.com,8461 Hillcrest Way,90729,1978-09-05,metro,66300.0,0.574,15.4,0,2.4,16800.0,17.9,1,0
APP00053,Aisha Lee,999-53-6589,aisha.lee786@example.com,7291 Lakeview Blvd,91886,1959-11-15,metro,93800.0,0.27,14.8,0,2.9,20500.0,44.0,0,1
APP00054,Alex Martinez,948-62-8699,alex.martinez250@example.com,4978 Pine Rd,90032,1983-01-28,metro,52600.0,0.352,14.0,0,14.7,35900.0,47.4,0,1
APP00055,Grace Smith,965-55-7795,grace.smith633@example.com,3337 Lakeview Blvd,91274,1969-11-24,metro,40000.0,0.389,5.7,0,,20600.0,44.3,0,0
APP00056,Hiro Wilson,964-32-7320,hiro.wilson847@example.com,6005 Hillcrest Way,96134,1986-03-29,rural,95700.0,0.244,5.8,0,11.2,18800.0,87.2,0,1
APP00057,Emma Smith,965-43-8662,emma.smith849@example.com,982 Oak St,90849,1956-10-08,metro,,0.12,6.3,0,,22800.0,28.7,1,0
APP00058,Grace Smith,989-50-9001,grace.smith379@example.com,5485 Elm Dr,91143,1972-08-08,metro,73500.0,0.391,3.4,0,6.5,32400.0,35.1,1,0
APP00059,Noah Martinez,909-47-8919,noah.martinez728@example.com,7558 Maple Ave,90071,1977-01-15,metro,65400.0,0.281,10.7,0,5.5,3200.0,36.4,1,0
APP00060,Olivia Ramirez,968-50-9418,olivia.ramirez315@example.com,8618 Pine Rd,96025,1989-04-12,rural,84300.0,0.315,15.1,0,2.2,24600.0,67.3,1,0
APP00061,James Hernandez,952-23-5860,james.hernandez346@example.com,6157 Elm Dr,91649,1971-09-30,metro,63200.0,0.372,3.5,0,11.7,29000.0,28.7,1,0
APP00062,Fatima Lopez,956-70-2836,fatima.lopez837@example.com,6097 Lakeview Blvd,91541,1950-09-30,metro,82800.0,0.399,25.0,0,4.6,21500.0,24.3,0,1
APP00063,Chloe Taylor,918-36-2053,chloe.taylor515@example.com,53 Maple Ave,91368,1967-07-13,metro,68500.0,0.365,5.8,0,4.2,10300.0,24.5,0,1
APP00064,Emma Singh,900-11-3909,emma.singh429@example.com,2309 Cedar Ln,95909,1986-05-12,rural,80300.0,0.321,4.3,0,7.2,24600.0,60.1,0,1
APP00065,Aisha Patel,961-75-8997,aisha.patel254@example.com,6632 Cedar Ln,96012,1967-07-22,rural,105500.0,0.226,15.6,0,2.8,32900.0,85.4,0,1
APP00066,Carlos Lee,978-82-5997,carlos.lee765@example.com,1284 Hillcrest Way,90108,1952-10-03,metro,41700.0,0.282,9.1,0,4.5,2000.0,31.6,0,1
APP00067,Olivia Taylor,946-30-9431,olivia.taylor60@example.com,5008 Lakeview Blvd,96023,1960-05-11,rural,78900.0,0.295,12.1,1,20.8,32500.0,63.4,0,1
APP00068,Linh Clark,948-77-7453,linh.clark259@example.com,9544 Oak St,90589,1971-09-23,metro,136400.0,0.231,7.2,1,3.2,17600.0,33.4,0,1
APP00069,Linh Wilson,908-55-9665,linh.wilson542@example.com,7108 Elm Dr,96003,1977-05-23,rural,64200.0,0.228,13.5,1,1.5,24300.0,70.4,1,0
APP00070,Daniel Hernandez,905-22-7372,daniel.hernandez464@example.com,800 Elm Dr,90799,1983-10-27,metro,94300.0,0.398,10.4,0,3.9,23900.0,16.0,0,1
APP00071,Daniel Nguyen,900-25-8371,daniel.nguyen341@example.com,8704 Hillcrest Way,96163,1954-10-07,rural,82800.0,0.46,9.2,0,3.7,29700.0,57.1,0,1
APP00072,Alex Ramirez,919-81-1175,alex.ramirez63@example.com,5160 Hillcrest Way,91666,1995-07-10,metro,52300.0,0.215,3.0,0,10.4,44300.0,25.2,1,0
APP00073,Maria Davis,987-20-6710,maria.davis989@example.com,929 Cedar Ln,91968,1975-01-23,metro,102700.0,0.177,12.9,0,4.5,22300.0,29.2,0,1
APP00074,Daniel Hernandez,908-52-5752,daniel.hernandez909@example.com,8753 Cedar Ln,90217,1959-09-12,metro,64700.0,0.29,11.9,1,3.1,27200.0,30.8,1,1
APP00075,Chloe Brown,958-98-5401,chloe.brown520@example.com,9836 Elm Dr,90927,1954-07-25,metro,67000.0,0.295,2.7,1,12.5,17600.0,40.3,0,1
APP00076,Kevin Wilson,954-70-9652,kevin.wilson72@example.com,6686 Cedar Ln,90045,1951-01-17,metro,76600.0,0.506,9.8,0,8.2,6300.0,46.9,1,0
APP00077,Olivia Moore,999-43-5598,olivia.moore496@example.com,8884 Cedar Ln,96090,1991-04-21,rural,60400.0,0.421,10.7,0,2.9,25600.0,73.4,0,1
APP00078,Fatima Clark,963-82-3918,fatima.clark605@example.com,9200 Elm Dr,96129,1982-02-25,rural,31500.0,0.523,12.0,1,1.2,33100.0,72.0,1,0
APP00079,Linh Davis,986-16-1221,linh.davis610@example.com,358 Cedar Ln,90640,1954-04-08,metro,43200.0,0.264,4.8,0,3.5,17300.0,32.6,1,0
APP00080,Aisha Chen,921-58-3096,aisha.chen697@example.com,8115 Lakeview Blvd,90369,1974-02-03,metro,41400.0,0.245,7.5,0,5.0,20300.0,39.9,1,0
APP00081,Carlos Garcia,910-85-4126,carlos.garcia836@example.com,3573 Oak St,90424,1973-09-06,metro,68700.0,0.473,13.0,0,7.1,34800.0,49.1,0,1
APP00082,Olivia Kim,998-87-1832,olivia.kim600@example.com,8964 Pine Rd,90252,1978-05-29,metro,49900.0,0.127,8.1,1,1.7,23100.0,24.4,0,1
APP00083,Fatima Singh,968-56-3270,fatima.singh96@example.com,9101 Hillcrest Way,96149,1951-11-02,rural,61500.0,0.264,21.5,1,7.0,21200.0,68.0,0,1
APP00084,Omar Chen,965-94-9664,omar.chen393@example.com,4000 Lakeview Blvd,96106,1991-06-09,rural,44400.0,0.375,10.6,2,9.0,6900.0,81.8,0,0
APP00085,James Moore,978-47-7938,james.moore795@example.com,8698 Oak St,90308,1952-06-09,metro,124300.0,0.451,5.8,0,1.8,12900.0,36.0,1,0
APP00086,Omar Wilson,941-42-4757,omar.wilson272@example.com,3154 Elm Dr,96195,1955-04-15,rural,103300.0,0.497,5.5,2,5.4,15800.0,70.5,1,0
APP00087,Daniel Kim,941-13-4161,daniel.kim178@example.com,5418 Pine Rd,90997,1996-07-15,metro,37100.0,0.459,9.7,0,4.1,24000.0,43.9,1,0
APP00088,Carlos Davis,985-76-3446,carlos.davis704@example.com,864 Lakeview Blvd,90832,2000-11-15,metro,88900.0,0.5,5.3,0,6.1,18200.0,48.1,1,0
APP00089,Mateo Ali,998-33-3659,mateo.ali563@example.com,8151 Pine Rd,91024,1955-01-14,metro,36100.0,0.32,15.7,0,5.0,10500.0,42.9,0,1
APP00090,Mateo Ali,967-13-1747,mateo.ali96@example.com,672 Pine Rd,91915,1951-11-18,metro,66900.0,0.444,9.3,0,2.5,20900.0,34.4,0,1
APP00091,Hiro Moore,906-26-9958,hiro.moore120@example.com,4089 Maple Ave,91118,1991-03-12,metro,66600.0,0.416,19.2,1,3.4,25800.0,37.9,1,0
APP00092,Mateo Ali,929-54-1700,mateo.ali12@example.com,7819 Oak St,96162,1976-04-23,rural,33200.0,0.383,9.7,0,9.6,26000.0,86.9,1,0
APP00093,James Clark,910-78-4089,james.clark41@example.com,2144 Elm Dr,90773,1987-09-05,metro,36200.0,0.358,10.1,0,4.2,14100.0,46.8,0,1
APP00094,Mateo Nguyen,948-95-9056,mateo.nguyen314@example.com,8444 Lakeview Blvd,90117,1999-05-31,metro,98700.0,0.265,9.8,0,2.0,26100.0,21.6,0,1
APP00095,Chloe Chen,901-22-2494,chloe.chen699@example.com,87 Hillcrest Way,91683,1982-09-04,metro,79600.0,0.286,28.8,2,6.2,22400.0,47.3,0,1
APP00096,Omar Kim,936-68-1558,omar.kim636@example.com,9872 Maple Ave,91882,1958-07-08,metro,43800.0,0.433,13.9,0,7.3,15900.0,38.6,0,1
APP00097,Aisha Brown,915-97-5283,aisha.brown542@example.com,7757 Elm Dr,96028,1967-08-30,rural,31800.0,0.451,11.8,1,1.8,29200.0,90.6,1,0
APP00098,Carlos Singh,992-27-8702,carlos.singh741@example.com,6251 Lakeview Blvd,96198,1976-07-13,rural,,0.45,6.9,0,6.9,26600.0,84.9,1,0
APP00099,Sofia Chen,987-55-8693,sofia.chen435@example.com,4593 Maple Ave,91900,1982-07-19,metro,62000.0,0.357,12.0,1,4.7,17700.0,15.2,0,1
APP00100,Emma Clark,914-66-2113,emma.clark596@example.com,3502 Pine Rd,91966,1956-09-30,metro,59000.0,0.206,10.3,1,10.1,9200.0,34.0,0,1
APP00101,Sofia Chen,976-97-8847,sofia.chen882@example.com,7663 Oak St,90852,1974-08-03,metro,59900.0,0.48,6.4,1,12.9,34200.0,27.1,1,0
APP00102,Ravi Patel,953-62-7373,ravi.patel520@example.com,2602 Maple Ave,95963,1985-10-31,rural,84800.0,0.47,7.4,0,4.8,9700.0,86.7,0,1
APP00103,Carlos Wilson,934-76-4954,carlos.wilson793@example.com,8844 Pine Rd,96089,1980-05-31,rural,116400.0,0.267,4.9,0,9.7,31700.0,68.0,0,1
APP00104,Hiro Ali,997-72-7963,hiro.ali989@example.com,6200 Oak St,91839,1965-09-23,metro,79400.0,0.278,15.8,1,4.7,24900.0,40.4,0,1
APP00105,Aisha Lee,917-97-7334,aisha.lee571@example.com,2669 Lakeview Blvd,91820,1961-02-20,metro,39800.0,0.236,18.2,1,,15500.0,54.1,0,1
APP00106,Carlos Ramirez,916-18-2850,carlos.ramirez822@example.com,8716 Hillcrest Way,90577,1999-05-02,metro,47900.0,0.284,3.3,0,3.5,10100.0,40.8,0,1
APP00107,James Singh,969-21-4296,james.singh39@example.com,3297 Hillcrest Way,90711,1962-04-03,metro,64600.0,0.396,14.8,0,11.0,12300.0,36.9,0,1
APP00108,Noah Davis,964-63-7256,noah.davis124@example.com,5141 Lakeview Blvd,95940,1964-01-01,rural,46500.0,0.5,7.8,0,3.9,7300.0,77.4,1,0
APP00109,Olivia Clark,993-63-4788,olivia.clark73@example.com,9587 Maple Ave,96013,1988-04-24,rural,79400.0,0.218,2.8,2,2.7,18300.0,76.0,1,0
APP00110,Ravi Lee,960-85-5980,ravi.lee535@example.com,2988 Maple Ave,96159,1967-01-04,rural,116000.0,0.278,13.5,1,3.8,24300.0,71.7,0,1
APP00111,Ravi Hernandez,914-78-8969,ravi.hernandez328@example.com,5260 Oak St,96195,1996-03-11,rural,48900.0,0.414,17.1,0,4.4,29300.0,79.5,1,0
APP00112,Aisha Hernandez,946-80-9639,aisha.hernandez549@example.com,4843 Cedar Ln,91211,1987-11-03,metro,45400.0,0.394,6.3,2,4.8,17000.0,38.7,1,0
APP00113,Emma Hernandez,902-84-1780,emma.hernandez814@example.com,560 Oak St,91789,1960-03-06,metro,47500.0,0.52,12.2,0,11.8,19200.0,35.1,1,0
APP00114,Chloe Clark,974-74-2804,chloe.clark96@example.com,3332 Maple Ave,90865,1960-03-28,metro,78400.0,0.335,2.6,1,11.5,17500.0,33.8,0,1
APP00115,Daniel Singh,960-28-8697,daniel.singh987@example.com,2045 Hillcrest Way,90393,1963-05-02,metro,73900.0,0.451,5.7,0,5.0,11500.0,38.5,0,1
APP00116,Daniel Singh,983-46-4161,daniel.singh853@example.com,5031 Cedar Ln,96182,1997-05-09,rural,54800.0,0.385,5.0,0,3.5,18400.0,68.2,1,0
APP00117,Sofia Hernandez,903-38-2688,sofia.hernandez504@example.com,8421 Pine Rd,90150,1953-09-21,metro,39300.0,0.338,5.1,0,2.7,28100.0,42.2,1,0
APP00118,Aisha Singh,993-43-7201,aisha.singh226@example.com,6430 Pine Rd,91161,1966-03-01,metro,72300.0,0.28,18.5,1,7.6,24600.0,47.0,1,1
APP00119,Chloe Moore,976-18-9547,chloe.moore775@example.com,2710 Pine Rd,91851,1959-11-07,metro,92000.0,0.368,5.3,0,3.9,12400.0,44.7,1,1
APP00120,Chloe Wilson,966-73-5960,chloe.wilson280@example.com,7768 Cedar Ln,90840,1972-09-25,metro,53900.0,0.172,3.4,1,14.6,26800.0,48.9,0,1
APP00121,Priya Garcia,960-31-2108,priya.garcia300@example.com,6408 Lakeview Blvd,91940,1959-12-18,metro,60200.0,0.366,6.9,0,4.0,12500.0,35.2,0,1
APP00122,Olivia Lopez,918-11-2916,olivia.lopez650@example.com,1425 Lakeview Blvd,90791,1959-03-30,metro,60300.0,0.171,15.3,1,10.3,29000.0,36.9,0,1
APP00123,Fatima Ali,925-55-1673,fatima.ali529@example.com,654 Pine Rd,90045,1980-12-22,metro,86400.0,0.295,9.5,1,2.5,24300.0,26.8,0,1
APP00124,Linh Nguyen,992-75-9529,linh.nguyen466@example.com,566 Maple Ave,91581,1983-10-02,metro,84900.0,0.254,8.9,0,2.9,11800.0,31.1,0,1
APP00125,James Ali,905-57-1912,james.ali2@example.com,709 Maple Ave,91858,1974-03-08,metro,98200.0,0.228,2.0,1,5.9,14300.0,32.7,0,1
APP00126,Aisha Chen,946-82-9265,aisha.chen355@example.com,520 Lakeview Blvd,91204,2001-07-27,metro,85900.0,0.463,8.4,0,1.0,10400.0,23.4,0,1
APP00127,Mateo Kim,990-86-9014,mateo.kim846@example.com,8780 Cedar Ln,90268,1966-12-21,metro,48300.0,0.289,7.4,1,2.3,29500.0,10.1,1,0
APP00128,Maria Martinez,994-12-9267,maria.martinez438@example.com,6050 Cedar Ln,91343,1977-06-26,metro,65300.0,0.342,3.6,0,8.1,16600.0,41.0,0,1
APP00129,Sofia Lopez,909-63-1960,sofia.lopez544@example.com,5080 Lakeview Blvd,90677,1961-01-02,metro,57500.0,0.37,14.1,0,7.5,26000.0,36.1,0,1
APP00130,Grace Chen,909-81-3569,grace.chen899@example.com,2543 Oak St,91374,1988-04-24,metro,91300.0,0.402,14.7,0,3.2,5300.0,33.2,1,0
APP00131,Carlos Nguyen,930-63-5678,carlos.nguyen192@example.com,1231 Cedar Ln,90435,1950-05-18,metro,44600.0,0.252,2.4,0,3.2,20700.0,44.7,1,0
APP00132,Alex Nguyen,939-67-3459,alex.nguyen605@example.com,6637 Pine Rd,91329,1983-12-02,metro,110300.0,0.424,1.6,0,12.4,25100.0,38.0,0,1
APP00133,Alex Wilson,954-67-4747,alex.wilson516@example.com,3388 Elm Dr,91803,1971-02-02,metro,71800.0,0.389,6.1,0,7.5,25500.0,41.4,1,1
APP00134,Mateo Taylor,983-15-1810,mateo.taylor177@example.com,7742 Oak St,90565,1997-04-21,metro,42200.0,0.282,7.8,0,2.5,41500.0,39.4,1,0
APP00135,Emma Wilson,989-75-3462,emma.wilson105@example.com,7187 Lakeview Blvd,91984,1992-12-31,metro,36500.0,0.359,7.7,0,6.6,27100.0,35.3,1,0
APP00136,Emma Lee,928-71-8156,emma.lee147@example.com,9315 Pine Rd,90241,2000-08-17,metro,94600.0,0.28,17.8,0,29.0,12700.0,39.7,0,1
APP00137,Grace Moore,950-79-3141,grace.moore183@example.com,529 Maple Ave,90718,1950-01-06,metro,50000.0,0.65,10.1,0,2.1,20400.0,32.1,1,0
APP00138,Aisha Garcia,950-33-5279,aisha.garcia773@example.com,6088 Pine Rd,96056,1980-10-04,rural,73900.0,0.433,7.7,1,10.1,31000.0,75.9,0,0
APP00139,Mateo Lee,976-70-1288,mateo.lee255@example.com,8448 Lakeview Blvd,96172,1997-07-29,rural,33300.0,0.344,2.5,0,16.8,25000.0,74.8,0,0
APP00140,Omar Johnson,987-35-6184,omar.johnson403@example.com,6005 Pine Rd,96082,2001-05-14,rural,73300.0,0.385,6.1,0,0.7,18100.0,74.8,1,0
APP00141,Mateo Davis,953-20-7628,mateo.davis463@example.com,3311 Oak St,91767,1988-09-21,metro,43900.0,0.437,8.1,1,9.9,28000.0,51.2,1,0
APP00142,Grace Hernandez,938-63-3514,grace.hernandez507@example.com,1721 Elm Dr,90159,1963-03-25,metro,71000.0,0.385,8.1,0,7.7,12700.0,27.1,0,1
APP00143,Maria Clark,912-21-9933,maria.clark953@example.com,3043 Pine Rd,96018,1963-12-09,rural,65600.0,0.312,6.9,1,7.4,25000.0,60.0,0,1
APP00144,Noah Kim,945-78-6398,noah.kim360@example.com,1803 Hillcrest Way,90104,1977-09-30,metro,71200.0,0.323,4.0,0,2.9,31900.0,32.3,0,1
APP00145,Linh Ali,969-84-6271,linh.ali768@example.com,2741 Elm Dr,95938,1957-10-03,rural,65400.0,0.336,7.9,1,2.9,3100.0,76.9,0,0
APP00146,Ravi Patel,998-43-3249,ravi.patel945@example.com,3222 Maple Ave,96000,1964-06-15,rural,34700.0,0.502,3.7,1,5.6,24200.0,79.5,1,0
APP00147,Mateo Martinez,978-25-4759,mateo.martinez23@example.com,276 Elm Dr,90352,1989-05-26,metro,39700.0,0.422,8.0,1,3.5,6400.0,45.6,1,0
APP00148,Grace Kim,962-84-6117,grace.kim902@example.com,5692 Oak St,91215,1951-05-08,metro,54100.0,0.446,11.7,2,7.5,31300.0,26.2,0,1
APP00149,Maria Martinez,939-16-3679,maria.martinez131@example.com,2467 Oak St,90419,1953-10-23,metro,51000.0,0.081,9.3,0,2.3,31700.0,30.6,0,1
APP00150,Hiro Moore,951-95-9559,hiro.moore162@example.com,3507 Hillcrest Way,96030,1986-01-19,rural,39800.0,0.654,6.2,1,5.5,15900.0,72.1,1,0
APP00151,Kevin Kim,946-49-6468,kevin.kim708@example.com,1066 Elm Dr,95984,1983-02-03,rural,46800.0,0.366,4.7,1,7.0,28900.0,63.2,1,0
APP00152,Noah Nguyen,967-62-1850,noah.nguyen133@example.com,9887 Elm Dr,91463,2001-11-07,metro,63200.0,0.297,14.7,0,11.9,23600.0,27.1,0,1
APP00153,Olivia Nguyen,974-22-3721,olivia.nguyen550@example.com,8968 Oak St,95952,1962-05-20,rural,32100.0,0.348,2.5,2,2.2,21100.0,73.5,1,0
APP00154,Hiro Smith,996-16-7764,hiro.smith795@example.com,2419 Pine Rd,91101,1971-03-11,metro,51200.0,0.394,3.5,0,5.2,20400.0,36.7,1,0
APP00155,Noah Davis,984-36-4470,noah.davis818@example.com,2360 Lakeview Blvd,90727,1999-03-07,metro,77200.0,0.196,8.9,0,3.6,24600.0,13.8,0,1
APP00156,Emma Moore,974-24-3160,emma.moore474@example.com,2175 Lakeview Blvd,91174,1952-08-19,metro,72500.0,0.399,5.7,1,4.8,28100.0,36.2,0,1
APP00157,Fatima Brown,937-41-4496,fatima.brown909@example.com,3973 Maple Ave,95986,1963-07-05,rural,50900.0,0.313,4.7,0,2.2,21400.0,76.8,1,0
